ensembl_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL
ENSG00000186231,56.85192450718051,9.695163742634737,3.276424408188824,5.420361014031152e-7,3.890068848587901e-6,KLHL32
ENSG00000186451,885.488340906323,2.8715120732234,0.4051993561293845,7.466542960021604e-14,1.029071673584475e-12,SPATA12
ENSG00000186470,2504.8386583706983,3.7835650083584293,0.29659671293012935,1.5461070827524548e-38,8.414795498838013e-37,BTN3A2
ENSG00000186474,2376.952275882561,1.781734432998146,0.22572682491405294,1.7724127916843434e-16,2.998857619962937e-15,KLK12
ENSG00000187726,377.5818157747473,1.7575636942424084,0.5777880735495352,1.0847056095744774e-4,5.615839276546761e-4,DNAJB13
ENSG00000187837,55822.53957688919,1.5421999873278445,0.04172858494838149,7.429911633136947e-298,1.2439441100450566e-294,HIST1H1C
ENSG00000187871,44.72348491520293,9.109835898369267,3.3811019260584625,7.5741389725436575e-6,4.6661845476723754e-5,GFRAL
ENSG00000188037,67.18407328758204,10.094506527253175,3.2055454726680597,3.9490037269064225e-8,3.238698904462396e-7,CLCN1
ENSG00000188404,2469.02909443401,1.8737507591876732,0.20092903984802316,6.972752700921455e-22,1.680294806111703e-20,SELL
ENSG00000188738,4473.551705157535,2.6115259422989174,0.22948842239784853,2.714316305157581e-31,1.0510203411127247e-29,FSIP2
ENSG00000189002,1311.114176320038,1.728544193060716,0.291408534169752,1.8280697523985744e-10,1.9032604212194695e-9,PROS2P
ENSG00000189058,7475.3524959123715,2.4630300316265274,0.11071812628981663,2.867697525672229e-110,8.844331342553502e-108,APOD
ENSG00000189233,505.15567381948523,1.659398376729387,0.47182169837955734,2.227516803195443e-5,1.2847320092445631e-4,NUGGC
ENSG00000196139,47616.33293378958,1.5684315348839486,0.07264860825180289,1.6711004710608896e-104,4.5901735517210796e-102,AKR1C3
ENSG00000196639,868.4249085081007,2.7243490556841743,0.3749150325345096,1.952149131536165e-14,2.8198689940706667e-13,HRH1
ENSG00000196668,950.9957914345721,1.7271409323012097,0.33376353438512985,1.3385338084429457e-8,1.1537511686944234e-7,LINC00173
ENSG00000196954,3618.9484205543845,2.201849296471864,0.19135727433450866,7.363956792430837e-32,2.9156459106427453e-30,CASP4
ENSG00000197415,13888.881642453827,2.8992416567175874,0.10006281821543919,8.179516405631297e-186,5.638894456972368e-183,VEPH1
ENSG00000197893,197.88825078777344,1.8419533936549695,0.7838542258310498,6.529725020558692e-4,0.0029260591638774285,NRAP
ENSG00000198019,1646.56931173082,1.9969155107081968,0.2768213043234758,3.195912730447709e-14,4.5418389527005253e-13,FCGR1B
ENSG00000198353,2708.3476406580194,1.5393798094847053,0.1997733380407653,8.968034649008517e-16,1.44041630984235e-14,HOXC4
ENSG00000198513,3349.4378502046056,1.5736368468157307,0.179979115029009,1.541153177224374e-19,3.2310915061438144e-18,ATL1
ENSG00000198643,240.06519833719955,2.1232474607280256,1.4935516396534585,0.0026245011418726495,0.010378454127443537,FAM3D
ENSG00000198865,5656.3273389381375,3.987920904967102,0.1994820866377007,2.9180402064444977e-90,6.452539347068056e-88,CCDC152
ENSG00000203356,49.69203778690491,9.429601223054265,3.282544719772826,1.3123051498716088e-6,8.966058446237056e-6,LINC01562
ENSG00000203697,32972.65180469629,2.153142429206372,0.0662715788300867,8.419882924007777e-233,9.549505281457724e-230,CAPN8
ENSG00000203721,628.2721752121938,2.0492878273560526,0.4755641157847249,8.063022639962766e-7,5.667379487070441e-6,LINC00862
ENSG00000203778,338.1380022953552,2.62601284005866,0.5556508202892211,1.0660123276807808e-7,8.339992752320555e-7,FAM229B
ENSG00000203897,230.5951175611242,3.9201604234312875,1.062653384815129,7.516001360468259e-6,4.6319910925977825e-5,SPATA42
ENSG00000203943,958.458941687577,2.30299410180069,0.36322591671013577,1.1938611729651676e-11,1.3816644167308207e-10,SAMD13
ENSG00000203952,636.9177728758759,2.3769912406251406,0.5780121546117993,1.8015134667199263e-6,1.2094598429712793e-5,CCDC160
ENSG00000204140,62.0622515316871,9.894908310260751,3.248338409262807,1.8332185470534115e-7,1.3960175632629607e-6,CLPSL1
ENSG00000204219,489.44031268845424,1.7764989321455316,0.6456841420389643,2.4513820318490027e-4,0.0011967250882779657,TCEA3
ENSG00000204262,35094.70354691004,2.3158478273912912,0.06995951676317551,2.9880826171927475e-244,4.040692182226146e-241,COL5A2
ENSG00000204610,241.5609312874638,1.9753661849411208,0.7200515620496513,2.3011695421954246e-4,0.001127935590883158,TRIM15
ENSG00000204789,1841.5116074255611,2.4587793993221796,0.3046265693236816,3.801695273884006e-17,6.774647954104802e-16,ZNF204P
ENSG00000204889,665.3842621422382,1.7466282385121408,0.4733065646945557,1.1260091027119731e-5,6.774359007914145e-5,KRT40
ENSG00000205413,1976.3725652617147,2.701351781104061,0.24957806612660757,1.5028417210842937e-28,5.124967223239833e-27,SAMD9
ENSG00000205420,3443.8842841118008,1.9233029302758207,0.20443226785287827,2.9895373407434763e-22,7.319578228635089e-21,KRT6A
ENSG00000205693,315.6248574396093,2.087929263764922,0.7417614235422216,1.8364324110099026e-4,9.159757006482787e-4,MANSC4
ENSG00000205847,1305.3633321077232,4.219138116388745,0.34857197253527283,5.134980530975628e-35,2.413646797975563e-33,OR7E91P
ENSG00000206127,699.6421977339826,1.5101520380373985,0.37518922991752585,3.3397052918595976e-6,2.1656344219198007e-5,GOLGA8O
ENSG00000206129,41.26149903115428,8.955151562716269,3.379363728666511,1.0471569742172242e-5,6.331382984781321e-5,CTD-2008L17.2
ENSG00000206579,41.38765739683062,8.918599439442387,3.4170204385212357,1.4677608959934594e-5,8.687711337076437e-5,XKR4
ENSG00000207864,104.84716647981085,4.659011019930916,1.537017372543231,6.085145276788848e-5,3.285436467853488e-4,MIR27B
ENSG00000211820,56.64113338627327,9.65301406661555,3.3069444665484746,9.081301455483797e-7,6.340140545539214e-6,TRAV41
ENSG00000213190,61013.02647549156,1.6070357884588438,0.06091170037078957,1.3014207401902323e-154,7.2629606038648215e-152,MLLT11
ENSG00000213759,255.0639816925819,1.5690268364793634,0.745135660016303,0.0012610271370609516,0.00532954118426806,UGT2B11
ENSG00000213876,50.47737820643316,9.43358068100086,3.3046696306219725,1.6629350028516486e-6,1.1226407789028631e-5,RPL7AP64
ENSG00000214194,24325.456076746133,1.5706281413641545,0.0689410516830539,5.299616111945572e-116,1.7578226686782487e-113,LINC00998
ENSG00000214274,2279.2485386659732,2.1584398825179365,0.332535142427802,4.688373586255583e-12,5.631654489892725e-11,ANG
ENSG00000214376,454.4094552946806,1.7184961985224643,0.5527925197716166,9.018624260225188e-5,4.725570944340646e-4,VSTM5
ENSG00000214553,192.94314328413896,1.6855734787372754,0.7818124306259007,0.001067800279040667,0.004590503275093437,LRRC37A11P
ENSG00000214803,51.45092150591092,9.48129926328226,3.295655000165024,1.3136204385900413e-6,8.971558080883307e-6,RP11-37N22.1
ENSG00000215018,3867.37997024482,2.2807214319068896,0.21179087587744577,2.8715000958394205e-28,9.6982777972736e-27,COL28A1
ENSG00000215022,227.05237453311412,1.5496960991272783,0.9471966228696753,0.002816837209973303,0.011070554377984727,RP1-257A7.4
ENSG00000215808,640.3610037294862,1.9113182106676394,0.39155495811101104,5.706097249019196e-8,4.607183516607385e-7,LINC01139
ENSG00000219700,76.11838540387251,10.331244742014736,3.2041363179059412,1.3279875276185122e-8,1.1449414782623655e-7,PTCHD3P3
ENSG00000223382,615.8117542430667,1.7829132644727246,0.45882441279818903,5.226904627972117e-6,3.301702116688316e-5,RP5-1125N11.2
ENSG00000223968,41.38732378710091,8.926962856917948,3.409649853859716,1.3722600783082437e-5,8.156769584655881e-5,AC098614.1
ENSG00000223969,57.72608203848886,9.767226838869249,3.24023369995362,2.5483797659441224e-7,1.904324849964493e-6,AC002456.2
